# wavelength[A] tau flux flux_error
3.283200e+03 9.720837e-02 9.073669e-01 9.525581e-02
3.284000e+03 1.863695e-04 9.998136e-01 9.999068e-02
3.284800e+03 4.026472e-08 1.000000e+00 1.000000e-01
3.285600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.286400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.287200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.288000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.288800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.289600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.290400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.291200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.292000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.292800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.293600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.294400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.295200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.296000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.296800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.297600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.298400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.299200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.300000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.300800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.301600e+03 1.590936e-01 8.529166e-01 9.235348e-02
3.302400e+03 4.206133e+00 1.490389e-02 1.220815e-02
3.303200e+03 5.721894e-02 9.443873e-01 9.717959e-02
3.304000e+03 1.250039e-06 9.999987e-01 9.999994e-02
3.304800e+03 2.373627e-07 9.999998e-01 9.999999e-02
3.305600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.306400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.307200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.308000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.308800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.309600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.310400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.311200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.312000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.312800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.313600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.314400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.315200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.316000e+03 8.830610e-05 9.999117e-01 9.999558e-02
3.316800e+03 3.493693e-04 9.996507e-01 9.998253e-02
3.317600e+03 3.760682e-08 1.000000e+00 1.000000e-01
3.318400e+03 9.040551e-05 9.999096e-01 9.999548e-02
3.319200e+03 3.245713e-04 9.996755e-01 9.998377e-02
3.320000e+03 1.086987e-01 8.970006e-01 9.471012e-02
3.320800e+03 2.108627e+00 1.214045e-01 3.484315e-02
3.321600e+03 1.403665e-03 9.985973e-01 9.992984e-02
3.322400e+03 9.603193e-07 9.999990e-01 9.999995e-02
3.323200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.324000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.324800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.325600e+03 8.800854e-10 1.000000e+00 1.000000e-01
3.326400e+03 3.138863e-09 1.000000e+00 1.000000e-01
3.327200e+03 2.335541e-14 1.000000e+00 1.000000e-01
3.328000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.328800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.329600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.330400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.331200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.332000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.332800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.333600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.334400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.335200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.336000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.336800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.337600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.338400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.339200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.340000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.340800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.341600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.342400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.343200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.344000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.344800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.345600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.346400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.347200e+03 0.000000e+00 1.000000e+00 1.000000e-01
