Name;Dataset;z;seed
QSO_315;RD0165;3.45;12061947
QSO_316;RD0165;3.45;12061948
QSO_317;RD0165;3.45;12061949
QSO_318;RD0165;3.45;12061950
QSO_319;RD0165;3.45;12061951
QSO_320;RD0165;3.45;12061952
QSO_321;RD0165;3.5;12061943
QSO_322;RD0165;3.5;12061944
QSO_323;RD0165;3.5;12061945
QSO_324;RD0165;3.5;12061946
QSO_325;RD0165;3.5;12061947
QSO_326;RD0165;3.5;12061948
QSO_327;RD0165;3.5;12061949
QSO_328;RD0165;3.5;12061950
QSO_329;RD0165;3.5;12061951
QSO_330;RD0165;3.5;12061952
QSO_331;RD0152;2.5;12061943
QSO_332;RD0152;2.5;12061944
QSO_333;RD0152;2.5;12061945
QSO_334;RD0152;2.5;12061946
QSO_335;RD0152;2.5;12061947
QSO_336;RD0152;2.5;12061948
QSO_337;RD0152;2.5;12061949
QSO_338;RD0152;2.5;12061950
QSO_339;RD0152;2.5;12061951
QSO_340;RD0152;2.5;12061952
QSO_341;RD0152;2.55;12061943
QSO_342;RD0152;2.55;12061944
QSO_343;RD0152;2.55;12061945
QSO_344;RD0152;2.55;12061946
QSO_345;RD0152;2.55;12061947
QSO_346;RD0152;2.55;12061948
QSO_347;RD0152;2.55;12061949
QSO_348;RD0152;2.55;12061950
QSO_349;RD0152;2.55;12061951
QSO_350;RD0152;2.55;12061952
QSO_351;RD0152;2.6;12061943
QSO_352;RD0152;2.6;12061944
QSO_353;RD0152;2.6;12061945
QSO_354;RD0152;2.6;12061946
QSO_355;RD0152;2.6;12061947
QSO_356;RD0152;2.6;12061948
QSO_357;RD0152;2.6;12061949
QSO_358;RD0152;2.6;12061950
QSO_359;RD0152;2.6;12061951
QSO_360;RD0152;2.6;12061952
QSO_361;RD0152;2.65;12061943
QSO_362;RD0152;2.65;12061944
QSO_363;RD0152;2.65;12061945
QSO_364;RD0152;2.65;12061946
QSO_365;RD0152;2.65;12061947
QSO_366;RD0152;2.65;12061948
QSO_367;RD0152;2.65;12061949
QSO_368;RD0152;2.65;12061950
QSO_369;RD0152;2.65;12061951
QSO_370;RD0152;2.65;12061952
QSO_371;RD0152;2.7;12061943
QSO_372;RD0152;2.7;12061944
QSO_373;RD0152;2.7;12061945
QSO_374;RD0152;2.7;12061946
QSO_375;RD0152;2.7;12061947
QSO_376;RD0152;2.7;12061948
QSO_377;RD0152;2.7;12061949
QSO_378;RD0152;2.7;12061950
QSO_379;RD0152;2.7;12061951
QSO_380;RD0152;2.7;12061952
QSO_381;RD0152;2.75;12061943
QSO_382;RD0152;2.75;12061944
QSO_383;RD0152;2.75;12061945
QSO_384;RD0152;2.75;12061946
QSO_385;RD0152;2.75;12061947
QSO_386;RD0152;2.75;12061948
QSO_387;RD0152;2.75;12061949
QSO_388;RD0152;2.75;12061950
QSO_389;RD0152;2.75;12061951
QSO_390;RD0152;2.75;12061952
QSO_391;RD0152;2.8;12061943
QSO_392;RD0152;2.8;12061944
QSO_393;RD0152;2.8;12061945
